"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"As a user or admin
  I want to test book retrieval functionality
  So that I can validate the API's response for different scenarios","171","Unauthorized User try to Retrieve all books","","Sat Jan 04 17:15:31 UTC 2025","passed","Sat Jan 04 17:15:31 UTC 2025","","","",""
"","91","Admin Creates a book with title as empty","","Sat Jan 04 17:15:30 UTC 2025","failed","Sat Jan 04 17:15:30 UTC 2025","","","",""
"As an admin  or user
  I want to update a book
  So that I can manage the books in the library","165","User attempts to update a book with missing title","","Sat Jan 04 17:15:33 UTC 2025","passed","Sat Jan 04 17:15:33 UTC 2025","","","",""
"As an admin or user
  I want to test book deletion functionality
  So that I can validate the API behavior for different roles and scenarios","161","Unauthenticated user attempts to delete a book","","Sat Jan 04 17:15:34 UTC 2025","passed","Sat Jan 04 17:15:34 UTC 2025","","","",""
"","174","User Creates a valid book","","Sat Jan 04 17:15:29 UTC 2025","passed","Sat Jan 04 17:15:30 UTC 2025","","","",""
"As an admin or user
  I want to test book deletion functionality
  So that I can validate the API behavior for different roles and scenarios","81","User attempts to delete a book with missing ID","","Sat Jan 04 17:15:33 UTC 2025","failed","Sat Jan 04 17:15:34 UTC 2025","","","",""
"As an admin  or user
  I want to update a book
  So that I can manage the books in the library","93","Admin attempts to update a book with missing title","","Sat Jan 04 17:15:32 UTC 2025","failed","Sat Jan 04 17:15:32 UTC 2025","","","",""
"As a user or admin
  I want to test book retrieval functionality
  So that I can validate the API's response for different scenarios","173","User Retrieve all books","","Sat Jan 04 17:15:31 UTC 2025","passed","Sat Jan 04 17:15:31 UTC 2025","","","",""
"","87","Admin Creates a book with mandatory fields as null","","Sat Jan 04 17:15:30 UTC 2025","passed","Sat Jan 04 17:15:30 UTC 2025","","","",""
"","492","Admin Creates a valid book","","Sat Jan 04 17:15:29 UTC 2025","passed","Sat Jan 04 17:15:29 UTC 2025","","","",""
"As an admin  or user
  I want to update a book
  So that I can manage the books in the library","80","User attempts to update a book with an invalid ID","","Sat Jan 04 17:15:32 UTC 2025","passed","Sat Jan 04 17:15:32 UTC 2025","","","",""
"As a user or admin
  I want to test book retrieval functionality
  So that I can validate the API's response for different scenarios","83","User attempts to retrieve a book with an invalid ID","","Sat Jan 04 17:15:31 UTC 2025","failed","Sat Jan 04 17:15:31 UTC 2025","","","",""
"","85","Admin Creates a book with title as null","","Sat Jan 04 17:15:30 UTC 2025","failed","Sat Jan 04 17:15:30 UTC 2025","","","",""
"As an admin or user
  I want to test book deletion functionality
  So that I can validate the API behavior for different roles and scenarios","93","Admin successfully deletes a valid book","","Sat Jan 04 17:15:33 UTC 2025","failed","Sat Jan 04 17:15:33 UTC 2025","","","",""
"As an admin  or user
  I want to update a book
  So that I can manage the books in the library","90","Admin attempts to update a book with missing ID","","Sat Jan 04 17:15:32 UTC 2025","passed","Sat Jan 04 17:15:32 UTC 2025","","","",""
